,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,popularity,release_date,length,artist
76,KILL THIS LOVE,3,6Ks1e4WEUeOGgnTGZ4IMXo,Kick It,spotify:track:6Ks1e4WEUeOGgnTGZ4IMXo,0.0153,0.764,0.787,0.0,0.0736,-3.647,0.0445,124.949,0.381,4,65,2019-04-05,191225,BLACKPINK
78,KILL THIS LOVE,5,4HGLNErVXyaDEjHvk3cL5B,DDU-DU DDU-DU - Remix,spotify:track:4HGLNErVXyaDEjHvk3cL5B,0.0336,0.68,0.906,7.75e-05,0.077,-6.195,0.0734,145.041,0.68,4,61,2019-04-05,201225,BLACKPINK
87,KILL THIS LOVE,4,6euC2yxyQA6uztolUYnhiW,Hope Not,spotify:track:6euC2yxyQA6uztolUYnhiW,0.444,0.561,0.422,0.0,0.0867,-4.998,0.0267,110.037,0.182,4,62,2019-04-05,191030,BLACKPINK
88,KILL THIS LOVE,5,0NdEvupVBxG5zyVLGtpJpg,DDU-DU DDU-DU (Remix),spotify:track:0NdEvupVBxG5zyVLGtpJpg,0.0336,0.68,0.906,7.75e-05,0.077,-6.195,0.0734,145.041,0.68,4,58,2019-04-05,201225,BLACKPINK
94,Kiss And Make Up,1,7v57jXggtZOJEjEcgfhxte,Kiss And Make Up,spotify:track:7v57jXggtZOJEjEcgfhxte,0.0658,0.678,0.729,0.0,0.303,-4.188,0.137,99.895,0.643,4,30,2018-10-24,189173,Dua Lipa
96,SQUARE UP,1,2aI2k39nfa3KFsa4JclQzw,DDU-DU DDU-DU,spotify:track:2aI2k39nfa3KFsa4JclQzw,0.0323,0.671,0.859,0.0,0.267,-3.922,0.0833,139.931,0.389,4,76,2018-06-15,209355,BLACKPINK
97,SQUARE UP,2,56bHclo7YNvpujMveLElQn,Forever Young,spotify:track:56bHclo7YNvpujMveLElQn,0.0426,0.6,0.96,0.0,0.0882,-1.807,0.095,109.863,0.503,4,69,2018-06-15,237076,BLACKPINK
98,SQUARE UP,3,5qA5DAR5xTjQUGrl0eBbmR,Really,spotify:track:5qA5DAR5xTjQUGrl0eBbmR,0.0234,0.695,0.881,0.0,0.277,-2.082,0.104,142.018,0.947,4,64,2018-06-15,197789,BLACKPINK
99,SQUARE UP,4,1ZPMLCzCwIvLbMFWvYiw4H,See U Later,spotify:track:1ZPMLCzCwIvLbMFWvYiw4H,0.0376,0.741,0.926,0.0,0.582,-3.968,0.112,106.99,0.571,4,64,2018-06-15,198866,BLACKPINK
104,SQUARE UP,1,2CWnuF7ht55Ajyeg4WPvWu,DDU-DU DDU-DU - KR Ver.,spotify:track:2CWnuF7ht55Ajyeg4WPvWu,0.0322,0.665,0.86,0.0,0.281,-3.921,0.0761,139.973,0.372,4,56,2018-06-15,209355,BLACKPINK
105,SQUARE UP,2,57Enap29zKl7NGRdDJjkjA,FOREVER YOUNG - KR Ver.,spotify:track:57Enap29zKl7NGRdDJjkjA,0.0419,0.615,0.96,0.0,0.0925,-1.807,0.09,110.058,0.504,4,52,2018-06-15,237076,BLACKPINK
106,SQUARE UP,3,7AWtaOSb7cgi16wJr3mkuf,REALLY - KR Ver.,spotify:track:7AWtaOSb7cgi16wJr3mkuf,0.0234,0.695,0.882,0.0,0.315,-2.08,0.104,142.025,0.947,4,47,2018-06-15,197789,BLACKPINK
107,SQUARE UP,4,514mQDPkXmPzsYwGNmkBJZ,SEE U LATER - KR Ver.,spotify:track:514mQDPkXmPzsYwGNmkBJZ,0.0399,0.744,0.927,0.0,0.579,-3.973,0.107,106.981,0.559,4,46,2018-06-15,198866,BLACKPINK
